source_name,destination_name,r_agent,r_carac,r_causatif,r_conseq,r_has_part,r_holo,r_instr,r_isa,r_lieu,r_patient
dessert,glacé,0,1,0,0,0,0,0,0,0,0
tronc,bras,0,0,0,0,1,0,0,0,0,0
zoomer,chercheur,1,0,0,0,0,0,0,0,0,0
Trinité,personne,0,0,0,0,0,0,0,1,0,0
voûte,tunnel,0,0,0,0,0,1,0,0,0,0
bourbon,whisky,0,0,0,0,0,0,0,1,0,0
conduire,femme,1,0,0,0,0,0,0,0,0,0
Carabosse,laide,0,1,0,0,0,0,0,0,0,0
propagandiste,femme,0,0,0,0,0,0,0,1,0,0
humoriste,journal,0,0,0,0,0,0,0,0,1,0
vomir,estomac,0,0,0,0,0,0,1,0,0,0
portefeuille,manteau,0,0,0,0,0,0,0,0,1,0
rafistoler,réparateur,1,0,0,0,0,0,0,0,0,0
pupille,petite,0,1,0,0,0,0,0,0,0,0
APN,écran,0,0,0,0,1,0,0,0,0,0
canalisation,action,0,0,0,0,0,0,0,1,0,0
secrétaire,mains,0,0,0,0,1,0,0,0,0,0
déplacée,hexapode,0,0,0,0,0,0,0,1,0,0
souper,couvert,0,0,0,0,0,0,1,0,0,0
baise-main,geste,0,0,0,0,0,0,0,1,0,0
univers,particule,0,0,0,0,1,0,0,0,0,0
manger,cafétéria,0,0,0,0,0,0,0,0,1,0
cassoulet,Toulouse,0,0,0,0,0,0,0,0,1,0
niquer,lui,0,0,0,0,0,0,0,0,0,1
style,original,0,1,0,0,0,0,0,0,0,0
assurer,femme,1,0,0,0,0,0,0,0,0,0
tuer,pistolet,0,0,0,0,0,0,1,0,0,0
injurier,cris,0,0,0,0,0,0,1,0,0,0
douleur,glisser,0,0,1,0,0,0,0,0,0,0
argent,volé,0,1,0,0,0,0,0,0,0,0
valet,carte,0,0,0,0,0,1,0,0,0,0
cheveux,consolateur,0,0,0,0,0,1,0,0,0,0
bouchère,femme,0,0,0,0,0,0,0,1,0,0
manif,boulevard,0,0,0,0,0,0,0,0,1,0
rugby,touche,0,0,0,0,1,0,0,0,0,0
maquiller,homme,0,0,0,0,0,0,0,0,0,1
fièvre,jaune,0,1,0,0,0,0,0,0,0,0
statistique,Science,0,0,0,0,0,0,0,1,0,0
bus,vitre,0,0,0,0,1,0,0,0,0,0
clanche,poignée,0,0,0,0,1,0,0,0,0,0
c,abécédaire,0,0,0,0,0,1,0,0,0,0
grog,tiède,0,1,0,0,0,0,0,0,0,0
aspe,eucaryote,0,0,0,0,0,0,0,1,0,0
témoigner,prêtre,1,0,0,0,0,0,0,0,0,0
répéter,comédienne,1,0,0,0,0,0,0,0,0,0
individu,désespéré,0,1,0,0,0,0,0,0,0,0
chocolat,délicieux,0,1,0,0,0,0,0,0,0,0
fraise,excellente,0,1,0,0,0,0,0,0,0,0
route,planifier,0,0,0,0,0,0,0,0,0,0
moulin,objet,0,0,0,0,0,1,0,0,0,0
examen,collège,0,0,0,0,0,0,0,0,1,0
malade,maladie,0,0,0,0,1,0,0,0,0,0
préféré,personne,0,0,0,0,0,0,0,1,0,0
éthane,alcane,0,0,0,0,0,0,0,1,0,0
Saint-Claude,Franche-Comté,0,0,0,0,0,0,0,0,1,0
botter,enfant,0,0,0,0,0,0,0,0,0,1
piquet,bout,0,0,0,0,1,0,0,0,0,0
récurer,produit,0,0,0,0,0,0,1,0,0,0
appelant,oiseau,0,0,0,0,0,0,0,1,0,0
cours,introduction,0,0,0,0,1,0,0,0,0,0
homme,café,0,0,0,0,0,0,0,0,1,0
narine,orifice,0,0,0,0,1,0,0,1,0,0
volant,dur,0,1,0,0,0,0,0,0,0,0
historiographe,historien,0,0,0,0,0,0,0,1,0,0
solidifier,mur,0,0,0,0,0,0,0,0,0,1
menottes,commode,0,0,0,0,0,0,0,0,1,0
manger,digestion,0,0,0,1,0,0,0,0,0,0
patraque,malade,0,0,1,0,0,0,0,0,0,0
baignade,lagon,0,0,0,0,0,0,0,0,1,0
Maoris,peuple,0,0,0,0,0,0,0,1,0,0
Orval,commune,0,0,0,0,0,0,0,1,0,0
agir,agent,1,0,0,0,0,0,0,0,0,0
Asnières-sur-Seine,Hauts-de-Seine,0,0,0,0,0,1,0,0,1,0
robinetterie,buanderie,0,0,0,0,0,1,0,0,0,0
limonade,bouteille,0,0,0,0,0,0,0,0,1,0
wagon,train,0,0,1,1,0,1,0,0,1,0
bus,trajet,0,0,0,0,0,1,0,0,0,0
poussin,poulailler,0,0,0,0,0,0,0,0,1,0
annulaire,sang,0,0,0,0,1,0,0,0,0,0
appeler,femme,1,0,0,0,0,0,0,0,0,1
sébaste,bilatérien,0,0,0,0,0,0,0,1,0,0
mouvement,scène,0,0,0,0,0,0,0,0,1,0
poursuivant,corps,0,0,0,0,1,0,0,0,0,0
pot,contenant,0,0,0,0,0,0,0,1,0,0
troupier,soldat,0,0,0,0,0,0,0,1,0,0
cactus,fruit,0,0,0,0,1,0,0,0,0,0
Hamlet,roi,0,0,0,0,0,0,0,1,0,0
orange,peau,0,0,0,0,1,0,0,0,0,0
discipline,fouet,0,0,0,0,0,0,0,1,0,0
hot-dog,rance,0,1,0,0,0,0,0,0,0,0
charpente,ossature,0,0,0,0,1,0,0,0,0,0
buffet,plats,0,0,0,0,1,0,0,0,0,0
pharmacie,caisse,0,0,0,0,1,0,0,0,0,0
micro-organisme,bénéfique,0,1,0,0,0,0,0,0,0,0
escalader,percher,0,0,0,0,0,0,0,0,0,1
horloge,cadre,0,0,0,0,1,0,0,0,0,0
ours,blanc,0,1,0,0,0,0,0,0,0,0
ambre,couleur,0,0,0,0,0,0,0,1,0,0
Ain,Rhône-Alpes,0,0,0,0,0,0,0,0,1,0
sec,dur,0,1,0,0,0,0,0,0,0,0
football,école,0,0,0,0,0,0,0,0,1,0
cheveux,baignoire,0,0,0,0,0,0,0,0,1,0
partir,démission,0,0,1,0,0,0,0,0,0,0
haïr,ennemi,0,0,0,0,0,0,0,0,0,1
palais,Versailles,0,0,0,0,0,0,0,0,1,0
saboter,terroriste,1,0,0,0,0,0,0,0,0,0
endoctriner,enfant,0,0,0,0,0,0,0,0,0,1
rondo,danse,0,0,0,0,0,0,0,1,0,0
conjugaison,verbe,0,1,0,0,0,0,0,0,0,0
tricheur,individu,0,0,0,0,0,0,0,1,0,0
demi-frère,individu,0,0,0,0,0,0,0,1,0,0
écharpe,armoire,0,0,0,0,0,0,0,0,1,0
étude,université,0,0,0,0,0,1,0,1,1,0
style,classique,0,1,0,0,0,0,0,0,0,0
atténuer,bruit,0,0,0,0,0,0,0,0,0,1
proton,chargé,0,1,0,0,0,0,0,0,0,0
artichaut,chlorophyle,0,0,0,0,1,0,0,0,0,0
vertigo,encéphale,0,0,0,0,0,0,0,0,1,0
ADN,Argos,0,0,0,0,0,0,0,0,1,0
Éthiopie,pays,0,0,0,0,0,0,0,1,0,0
dissimulateur,personne,0,0,0,0,0,0,0,1,0,0
champ,arracher,0,0,0,1,0,0,0,0,0,0
vertèbre,cardinal,0,0,0,0,0,1,0,0,0,0
roussette,chalutier,0,0,0,0,0,0,0,0,1,0
figue,fruit,0,0,0,0,0,0,0,1,0,0
poète,inspiration,0,0,1,0,0,0,0,0,0,0
concasser,tomates,0,0,0,0,0,0,0,0,0,1
région,pays,0,0,0,0,0,1,0,0,1,0
microscope,table,0,0,0,0,0,0,0,0,1,0
tiède,oeil,0,0,0,0,1,0,0,0,0,0
bateau,eau,0,0,0,0,0,0,0,0,1,0
fermier,agriculteur,0,0,0,0,0,0,0,1,0,0
celtique,celte,0,0,0,0,0,0,0,1,0,0
fétuque,monocotylédone,0,0,0,0,0,0,0,1,0,0
concours,Mathématiques,0,0,0,0,0,0,0,1,0,0
lire,transmettre,0,0,0,1,0,0,0,0,0,0
ténia,irritabilité,0,0,0,1,0,0,0,0,0,0
iguane,vertébré,0,0,0,0,0,0,0,1,0,0
bôme,vergue,0,0,0,0,0,0,0,1,0,0
passé,ancien,0,1,0,0,0,0,0,0,0,0
père,ciel,0,0,0,0,0,0,0,0,1,0
Tunisie,pays,0,0,0,0,0,0,0,1,0,0
azote,molécule,0,0,0,0,1,1,0,1,0,0
creux,main,0,0,0,0,0,1,0,0,0,0
saigner,nez,1,0,0,0,0,0,0,0,0,0
choc,affrontement,0,0,0,0,0,0,0,1,0,0
araignée,patte,0,0,0,0,1,0,0,0,0,0
température,gel,0,0,0,1,0,0,0,0,0,0
rouler,rouleau,0,0,0,0,0,0,1,0,0,1
loulou,tétrapode,0,0,0,0,0,0,0,1,0,0
Mendel,homme,0,0,0,0,0,0,0,1,0,0
couleur,échantillon,0,0,0,0,0,0,0,0,1,0
Évian,commune,0,0,0,0,0,0,0,1,0,0
triticale,chlorophyle,0,0,0,0,1,0,0,0,0,0
échocardiographie,échographie,0,0,0,0,0,0,0,1,0,0
muscle,poitevin,0,0,0,0,0,1,0,0,0,0
coq,galliforme,0,0,0,0,0,0,0,1,0,0
Tintin,débrouillard,0,1,0,0,0,0,0,0,0,0
agréer,signature,0,0,0,0,0,0,1,0,0,0
hévéa,adn,0,0,0,0,1,0,0,0,0,0
distance,film,0,0,0,0,0,0,0,1,0,0
insecte,mandibule,0,0,0,0,1,0,0,0,0,0
Dieudonné,commune,0,0,0,0,0,0,0,1,0,0
louper,train,0,0,0,0,0,0,0,0,0,1
géomètre,bilatérien,0,0,0,0,0,0,0,1,0,0
amitié,fidèle,0,1,0,0,0,0,0,0,0,0
cyclone,trou,0,0,0,0,1,0,0,0,0,0
Peyo,prénom,0,0,0,0,0,0,0,1,0,0
homme,lâche,0,1,0,0,0,0,0,0,0,0
androgyne,bras,0,0,0,0,1,0,0,0,0,0
bouillir,marmite,0,0,0,0,0,0,0,0,0,1
flanquer,claque,0,0,0,0,0,0,0,0,0,1
vertèbre,vespertilion,0,0,0,0,0,1,0,0,0,0
écharpe,tiroir,0,0,0,0,0,0,0,0,1,0
fesses,couturière,0,0,0,0,0,1,0,0,0,0
tentateur,corps,0,0,0,0,1,0,0,0,0,0
reptile,cage,0,0,0,0,0,0,0,0,1,0
braque,métazoaire,0,0,0,0,0,0,0,1,0,0
timbre,rare,0,1,0,0,0,0,0,0,0,0
tarama,turc,0,1,0,0,0,0,0,0,0,0
examiner,docteur,1,0,0,0,0,0,0,0,0,0
comique,drôle,0,1,0,0,0,0,0,0,0,0
classique,musique,0,0,0,0,0,0,0,1,0,0
bicyclette,lieu,0,0,0,0,0,0,0,1,0,0
chatte,animal,0,0,0,0,0,0,0,1,0,0
tarte,préparation,0,0,0,0,0,0,0,1,0,0
fusée,longue,0,1,0,0,0,0,0,0,0,0
napolitaine,personne,0,0,0,0,0,0,0,1,0,0
forer,mine,0,0,0,0,0,0,0,0,0,1
cheveux,Morgause,0,0,0,0,0,1,0,0,0,0
raisin,noir,0,1,0,0,0,0,0,0,0,0
oxygène,montagne,0,0,0,0,0,0,0,0,1,0
sommet,échelle,0,0,0,0,0,0,0,0,1,0
taper,homme,1,0,0,0,0,0,0,0,0,1
conducteur,train,0,0,0,0,0,1,0,0,0,0
recommandation,influencer,0,0,0,0,0,0,0,0,0,0
ADN,patraque,0,0,0,0,0,1,0,0,0,0
bombe,explosif,0,0,1,0,1,0,0,0,0,0
congratuler,diplomate,1,0,0,0,0,0,0,0,0,0
parésie,symptôme,0,0,0,0,0,0,0,1,0,0
gros,lourd,0,1,0,0,0,0,0,0,0,0
navire,chose,0,0,0,0,0,0,0,1,0,0
dépouille,retrouvée,0,1,0,0,0,0,0,0,0,0
guichet,boutique,0,0,0,0,0,1,0,0,0,0
dictateur,chef,0,0,0,0,0,0,0,1,0,0
rideaux,salon,0,0,0,0,0,1,0,0,0,0
odeur,rot,0,0,1,0,0,0,0,0,0,0
rédiger,devoir,0,0,0,0,0,0,0,0,0,1
contraire,divergence,0,0,0,0,0,0,0,1,0,0
constat,dire,0,0,0,0,0,0,0,0,0,0
gars,type,0,0,0,0,0,0,0,1,0,0
macaque,euthérien,0,0,0,0,0,0,0,1,0,0
moyeu,véhicule,0,0,0,0,0,0,0,0,1,0
plaisir,victoire,0,0,1,0,0,0,0,0,0,0
troubles,corps,0,0,0,0,0,0,0,0,1,0
caféier,arbre,0,0,0,0,0,0,0,1,0,0
vélo,fourche,0,0,0,0,1,0,0,0,0,0
chemise,costume,0,0,0,0,0,1,0,0,0,0
mimer,sourd,1,0,0,0,0,0,0,0,0,0
chanter,parole,0,0,0,0,0,0,0,0,0,1
roue,camion,0,0,0,0,0,1,0,0,1,0
boulanger,patisserie,0,0,0,0,0,0,0,0,1,0
quartier,ville,0,0,0,0,0,1,0,0,0,0
canard,sauvage,0,1,0,0,0,0,0,0,0,0
zéro,nul,0,1,1,0,0,0,0,0,0,0
maison,terrain,0,0,0,0,0,1,0,0,1,0
villes,Europe,0,0,0,0,0,0,0,0,1,0
cancrinite,minéral,0,0,0,0,0,0,0,1,0,0
képi,penderie,0,0,0,0,0,0,0,0,1,0
starlette,populaire,0,1,0,0,0,0,0,0,0,0
pharaon,célèbre,0,1,0,0,0,0,0,0,0,0
roti,pain,0,0,0,0,0,0,0,1,0,0
raboter,rape,0,0,0,0,0,0,1,0,0,0
canicule,décès,0,0,0,1,0,0,0,0,0,0
oenanthe,diapside,0,0,0,0,0,0,0,1,0,0
DSK,FMI,0,0,0,0,0,0,0,0,1,0
poésie,poète,0,0,0,1,0,0,0,0,0,0
aikido,sport,0,0,0,0,0,0,0,1,0,0
vitamine,élément,0,0,0,0,1,0,0,0,0,0
souffler,souffleur,1,0,0,0,0,0,0,0,0,0
tomme,livre,0,0,0,0,0,0,0,1,0,0
mets,restaurant,0,0,0,0,0,0,0,0,1,0
pâtisserie,four,0,0,0,0,0,0,0,0,1,0
chanson,populaire,0,1,0,0,0,0,0,0,0,0
python,animal,0,0,0,0,0,0,0,1,0,0
Colibri,cervelle,0,0,0,0,1,0,0,0,0,0
spam,harceler,0,0,0,0,0,0,0,0,0,0
débat,bistrot,0,0,0,0,0,0,0,0,1,0
paon,vaniteux,0,1,0,0,0,0,0,0,0,0
humer,odeur,0,0,0,0,0,0,0,0,0,1
condamner,individu,0,0,0,0,0,0,0,0,0,1
trois-mâts,ancre,0,0,0,0,1,0,0,0,0,0
remplir,chariot,0,0,0,0,0,0,0,0,0,1
deviner,voyante,1,0,0,0,0,0,0,0,0,0
bourrin,bilatérien,0,0,0,0,0,0,0,1,0,0
barman,vivant,0,1,0,0,0,1,0,0,0,0
Siréniens,animal,0,0,0,0,0,0,0,1,0,0
torpille,détonateur,0,0,0,0,1,0,0,0,0,0
Iago,organisme,0,0,0,0,0,0,0,1,0,0
rétroviseur,taxi,0,0,0,0,0,1,0,0,0,0
caporal,cordé,0,0,0,0,0,0,0,1,0,0
trahison,confectionner,0,0,0,0,0,0,0,0,0,0
sourire,bouche,0,0,0,0,0,0,1,0,0,0
chanter,pinson,1,0,0,0,0,0,0,0,0,0
riz,casserole,0,0,0,0,0,0,0,0,1,0
herbage,herbe,0,0,0,0,0,0,0,1,0,0
caneton,diapside,0,0,0,0,0,0,0,1,0,0
cistre,eucaryote,0,0,0,0,0,0,0,1,0,0
bisou,mouillé,0,1,0,0,0,0,0,0,0,0
caniche,chenil,0,0,0,0,0,0,0,0,1,0
Joinville-le-Pont,Ile-de-France,0,0,0,0,0,0,0,0,1,0
foyer,avenue,0,0,0,0,0,0,0,0,1,0
Jack,personnage,0,0,0,0,0,0,0,1,0,0
sorcière,forêt,0,0,0,0,0,0,0,0,1,0
sanitaire,bar,0,0,0,0,0,1,0,0,0,0
Eschyle,écrivain,0,0,0,0,0,0,0,1,0,0
esturgeon,eucaryote,0,0,0,0,0,0,0,1,0,0
monument,concevoir,0,0,0,0,0,0,0,0,0,0
poupe,bâtir,0,0,0,0,0,0,0,0,0,0
phénix,amniote,0,0,0,0,0,0,0,1,0,0
allergène,terrine,0,0,0,0,0,1,0,0,0,0
Cambrai,ville,0,0,0,0,0,0,0,1,0,0
pull,personne,0,0,0,0,0,0,0,0,1,0
ADN,Noé,0,0,0,0,0,0,0,0,1,0
assassiner,assassinat,0,0,0,1,0,0,0,0,0,0
hébété,corps,0,0,0,0,1,0,0,0,0,0
appuyer,fesse,0,0,0,0,0,0,1,0,0,0
Callas,cantatrice,0,0,0,0,0,0,0,1,0,0
artiste,humain,0,0,0,0,0,0,0,1,0,0
engrais,naturel,0,1,0,0,0,0,0,0,0,0
arrondir,ponceuse,1,0,0,0,0,0,0,0,0,0
petit-gris,champignon,0,0,0,0,0,0,0,1,0,0
vertèbre,abondance,0,0,0,0,0,1,0,0,0,0
cheveux,tête,0,0,0,0,0,0,0,0,1,0
lèchefrite,huilé,0,1,0,0,0,0,0,0,0,0
geek,tétrapode,0,0,0,0,0,0,0,1,0,0
belle,génétique,0,0,1,0,0,0,0,0,0,0
engloutir,gourmand,1,0,0,0,0,0,0,0,0,0
étoile,lointaine,0,1,0,0,0,0,0,0,0,0
sable,mouvant,0,1,0,0,0,0,0,0,0,0
refuser,maladie,0,0,1,0,0,0,0,0,0,0
cendrée,charbon,0,0,0,0,0,1,0,0,0,0
exprimer,grimace,0,0,0,0,0,0,1,0,0,0
lamproies,corps,0,0,0,0,1,0,0,0,0,0
main,serrée,0,1,0,0,0,0,0,0,0,0
désodoriser,désodorisant,0,0,0,0,0,0,1,0,0,0
panel,échantillon,0,0,0,0,0,0,0,1,0,0
choisir,homme,1,0,0,0,0,0,0,0,0,0
révolution,oppression,0,0,1,0,0,0,0,0,0,0
été,temps,0,0,1,0,0,0,0,0,0,0
enclore,individu,1,0,0,0,0,0,0,0,0,0
sucré,dessert,0,0,1,0,0,0,0,0,0,0
bovidé,euthérien,0,0,0,0,0,0,0,1,0,0
éjaculation,liquide,0,1,0,0,0,0,0,0,0,0
os,extrémité,0,0,0,0,1,0,0,0,0,0
tadorne,pattes,0,0,0,0,1,0,0,0,0,0
auto-tamponneuse,roue,0,0,0,0,1,0,0,0,0,0
maitresse,individu,0,0,0,0,0,0,0,1,0,0
parc,herbe,0,0,0,0,1,0,0,0,0,0
otarie,amniote,0,0,0,0,0,0,0,1,0,0
kangourou,cage,0,0,0,0,0,0,0,0,1,0
vomir,cuvette,0,0,0,0,0,0,1,0,0,0
Germinal,oeuvre,0,0,0,0,0,0,0,1,0,0
débarras,villa,0,0,0,0,0,1,0,0,0,0
murène,longue,0,1,0,0,0,0,0,0,0,0
nu,plage,0,0,0,0,0,0,0,0,1,0
Chopin,personne,0,0,0,0,0,0,0,1,0,0
rempart,tour,0,0,0,0,1,0,0,0,0,0
zizi,garçon,0,0,0,0,0,1,0,0,0,0
boycotter,Israël,0,0,0,0,0,0,0,0,0,1
arabiser,écrivain,1,0,0,0,0,0,0,0,0,0
grincer,parquet,1,0,0,0,0,0,0,0,0,0
dermatose,suppuration,0,0,0,1,0,0,0,0,0,0
marin,pêcheur,0,1,0,0,0,0,0,0,0,0
repas,mauvais,0,1,0,0,0,0,0,0,0,0
chanteuse,voix,0,0,1,0,1,0,0,0,0,0
bengali,passereau,0,0,0,0,0,0,0,1,0,0
consulter,conseil,0,0,0,0,0,0,0,0,0,1
taenia,faune,0,0,0,0,0,1,0,0,0,0
Noël,cri,0,0,0,0,0,0,0,1,0,0
glace,plaisir,0,0,0,1,0,0,0,0,0,0
torcol,oiseau,0,0,0,0,0,0,0,1,0,0
ouvrir,sac,0,0,0,0,0,0,0,0,0,1
main,bras,0,0,0,0,0,1,0,0,1,0
déraciner,légume,0,0,0,0,0,0,0,0,0,1
douane,guérite,0,0,0,0,1,0,0,0,0,0
mauvais,tribunal,0,0,0,0,0,0,0,0,1,0
siroter,verre,0,0,0,0,0,0,1,0,0,0
Montluçon,France,0,0,0,0,0,1,0,0,1,0
libéral,pied,0,0,0,0,1,0,0,0,0,0
pistil,ovaire,0,0,0,0,1,0,0,0,0,0
riche,lipide,0,0,1,0,0,0,0,0,0,0
belle,harmonie,0,0,1,0,0,0,0,0,0,0
foutraque,personne,0,0,0,0,0,0,0,1,0,0
campagnol,mammifère,0,0,0,0,0,0,0,1,0,0
explorateur,personne,0,0,0,0,0,0,0,1,0,0
draguer,séducteur,1,0,0,0,0,0,0,0,0,0
choriste,bras,0,0,0,0,1,0,0,0,0,0
caisse,claire,0,1,0,0,0,0,0,0,0,0
insomnie,ennuis,0,0,1,0,0,0,0,0,0,0
bite,gros,0,1,0,0,0,0,0,0,0,0
Vénus,bras,0,0,0,0,1,0,0,0,0,0
sweater,magasin,0,0,0,0,0,0,0,0,1,0
démonter,mécanicien,1,0,0,0,0,0,0,0,0,0
taxi,dessiner,0,0,0,0,0,0,0,0,0,0
agacer,papa,0,0,0,0,0,0,0,0,0,1
labourer,joug,0,0,0,0,0,0,1,0,0,0
ronfler,homme,1,0,0,0,0,0,0,0,0,0
crâne,cerveau,0,0,0,0,1,0,0,0,0,0
remonter,montre,0,0,0,0,0,0,0,0,0,1
abyssin,cordé,0,0,0,0,0,0,0,1,0,0
pantalon,déchiré,0,1,0,0,0,0,0,0,0,0
sapotillier,végétal,0,0,0,0,0,0,0,1,0,0
coiffeur,habile,0,1,0,0,0,0,0,0,0,0
néodarwinisme,théorie,0,0,0,0,0,0,0,1,0,0
silure,animal,0,0,0,0,0,0,0,1,0,0
modifier,individu,1,0,0,0,0,0,0,0,0,0
friser,sèche-cheveux,0,0,0,0,0,0,1,0,0,0
dindon,eucaryote,0,0,0,0,0,0,0,1,0,0
papier,bureau,0,0,0,0,0,0,0,0,1,0
pays,rivière,0,0,0,0,1,0,0,0,0,0
starlette,médiocre,0,1,0,0,0,0,0,0,0,0
Saint-Domingue,capitale,0,0,0,0,0,0,0,1,0,0
squelette,ADN,0,0,0,0,1,0,0,0,0,0
medicament,empoisonner,0,0,0,1,0,0,0,0,0,0
briquet,cuisine,0,0,0,0,0,1,0,0,1,0
ravaler,pleur,0,0,0,0,0,0,0,0,0,1
Depardieu,artiste,0,0,0,0,0,0,0,1,0,0
nématode,terrestre,0,1,0,0,0,0,0,0,0,0
draguer,séductrice,1,0,0,0,0,0,0,0,0,0
banque,Paris,0,0,0,0,0,0,0,0,1,0
peur,bleue,0,1,0,0,0,0,0,0,0,0
casser,ski,0,0,1,0,0,0,0,0,0,0
défilé,célébrer,0,0,1,0,0,0,0,0,0,0
medicament,cher,0,1,0,0,0,0,0,0,0,0
cheveux,pie-grièche,0,0,0,0,0,1,0,0,0,0
chien,corps,0,0,0,0,1,0,0,0,0,0
douleur,divorcer,0,0,1,0,0,0,0,0,0,0
girolle,ustensile,0,0,0,0,0,0,0,1,0,0
feu,camp,0,0,0,0,0,0,0,0,1,0
blâmer,père,1,0,0,0,0,0,0,0,0,0
percée,trouée,0,0,0,0,0,0,0,1,0,0
alouette,bilatérien,0,0,0,0,0,0,0,1,0,0
alcool,café,0,0,0,0,0,1,0,0,1,0
pisse-vinaigre,personne,0,0,0,0,0,0,0,1,0,0
Hémiptères,arthropodes,0,0,0,0,0,0,0,1,0,0
safran,pigment,0,0,0,0,0,0,0,1,0,0
région,terre,0,0,0,0,0,0,0,0,1,0
abondance,mangeable,0,1,0,0,0,0,0,0,0,0
houri,désirable,0,1,0,0,0,0,0,0,0,0
chevesne,chordé,0,0,0,0,0,0,0,1,0,0
régiment,brigade,0,0,0,0,0,1,0,0,0,0
machin,boutique,0,0,0,0,0,0,0,0,1,0
montagne,col,0,0,0,0,1,0,0,1,0,0
rizotto,aromates,0,0,0,0,1,0,0,0,0,0
Isère,France,0,0,0,0,0,0,0,0,1,0
dents,scie,0,0,0,0,0,1,0,0,0,0
Oprah,comédienne,0,0,0,0,0,0,0,1,0,0
coursier,équidé,0,0,0,0,0,0,0,1,0,0
blesser,garçon,0,0,0,0,0,0,0,0,0,1
Athos,personne,0,0,0,0,0,0,0,1,0,0
vache,yeux,0,0,0,0,1,0,0,0,0,0
Lu,personne,0,0,0,0,0,0,0,1,0,0
recentrer,recentrage,0,0,0,0,0,0,1,0,0,0
résider,appartement,0,0,0,0,0,0,1,0,0,0
anthelminthique,médicament,0,0,0,0,0,0,0,1,0,0
mat,échec,0,0,0,0,0,0,0,1,0,0
pull-over,poignet,0,0,0,0,1,0,0,0,0,0
sourire,rue,0,0,0,0,0,0,0,0,1,0
bras,corps,0,0,0,0,0,1,0,0,1,0
microsillon,faire,0,0,0,0,0,0,0,0,0,0
arthropode,métamère,0,0,0,0,1,0,0,0,0,0
montre,engrenages,0,0,0,0,1,0,0,0,0,0
rencontrer,voiture,1,0,0,0,0,0,0,0,0,0
Paracelse,organisme,0,0,0,0,0,0,0,1,0,0
solide,objet,0,0,0,0,0,0,0,1,0,0
cours,axiome,0,0,0,0,1,0,0,0,0,0
pneu,voiture,0,0,0,0,0,1,0,0,1,0
peler,fille,1,0,0,0,0,0,0,0,0,0
histoire,cours,0,0,0,0,0,0,0,1,1,0
névraxe,gorille,0,0,0,0,0,1,0,0,0,0
Gödel,Mathématiques,0,0,0,0,0,0,0,1,0,0
Sana,prénom,0,0,0,0,0,0,0,1,0,0
raccommoder,chemise,0,0,0,0,0,0,0,0,0,1
mariage,restaurant,0,0,0,0,0,0,0,0,1,0
reptiles,mer,0,0,0,0,0,0,0,0,1,0
Russie,histoire,0,0,1,0,0,0,0,0,0,0
tartufe,tartuffe,0,0,0,0,0,0,0,1,0,0
Austerlitz,oeuvre,0,0,0,0,0,0,0,1,0,0
oliveraie,champ,0,0,0,0,0,1,0,0,0,0
groupe,unité,0,0,0,0,1,0,0,0,0,0
chevalier,échassier,0,0,0,0,0,0,0,1,0,0
nourriture,gras,0,1,0,0,0,0,0,0,0,0
